item_id,b
bn-fit-modify,-0.44638559222221375
break-filter-js-from-html,1.5893065929412842
build-cython-ext,0.8543429374694824
caffe-cifar-10,4.94789981842041
cancel-async-tasks,1.0641611814498901
chess-best-move,3.013749837875366
circuit-fibsqrt,1.3393433094024658
cobol-modernization,-3.2492146492004395
compile-compcert,0.6165080666542053
configure-git-webserver,-0.36557909846305847
constraints-scheduling,-4.24116849899292
crack-7z-hash,-1.0669482946395874
db-wal-recovery,3.9374969005584717
distribution-search,-1.606669545173645
dna-assembly,4.0289764404296875
dna-insert,5.187536716461182
extract-elf,0.7464298009872437
feal-differential-cryptanalysis,0.9949811100959778
feal-linear-cryptanalysis,1.0640853643417358
filter-js-from-html,6.761261463165283
financial-document-processor,1.9469339847564697
fix-git,-3.6306188106536865
fix-ocaml-gc,-0.3643336594104767
gcode-to-text,3.9327521324157715
git-leak-recovery,-3.4748058319091797
git-multibranch,-2.1567842960357666
hf-model-inference,-1.3695447444915771
install-windows-3.11,5.8207221031188965
large-scale-text-editing,-0.06940779834985733
llm-inference-batching-scheduler,0.48563218116760254
log-summary-date-ranges,-1.4449774026870728
mailman,0.17078402638435364
make-doom-for-mips,9.099453926086426
make-mips-interpreter,4.124175548553467
mcmc-sampling-stan,-0.29882144927978516
merge-diff-arc-agi-task,-1.542534351348877
model-extraction-relu-logits,4.094776153564453
modernize-scientific-stack,-5.5480427742004395
mteb-leaderboard,3.992849588394165
mteb-retrieve,4.92682409286499
nginx-request-logging,-2.6174156665802
openssl-selfsigned-cert,-0.8671320080757141
password-recovery,0.5311909914016724
path-tracing,2.6517112255096436
path-tracing-reverse,2.6023740768432617
polyglot-rust-c,3.130723237991333
portfolio-optimization,-3.6096386909484863
protein-assembly,2.506624221801758
prove-plus-comm,-4.448777198791504
pypi-server,-1.4364805221557617
pytorch-model-cli,-0.521676778793335
pytorch-model-recovery,0.24278134107589722
qemu-alpine-ssh,1.9599905014038086
query-optimize,1.0304733514785767
raman-fitting,5.93406867980957
regex-chess,3.798173666000366
regex-log,-1.7185931205749512
reshard-c4-data,-0.04819512367248535
sam-cell-seg,6.485681056976318
sanitize-git-repo,1.5657869577407837
schemelike-metacircular-eval,1.7419273853302002
sparql-university,1.235734462738037
sqlite-db-truncate,-0.06469868868589401
sqlite-with-gcov,-1.6302789449691772
torch-tensor-parallelism,4.1558451652526855
train-fasttext,6.582940101623535
tune-mjcf,0.6029289960861206
video-processing,6.5895466804504395
vulnerable-secret,-2.2930991649627686
winning-avg-corewars,1.6299777030944824
write-compressor,2.2306084632873535
