subject_id,theta
factory_droid_gpt-5_2_at_openai,2.9690403938293457
ante_gemini-3-pro-preview_at_google,3.223132610321045
junie_gemini-3-flash-preview_at_gemini,2.7878291606903076
factory_droid_claude-opus-4-5-20251101_at_anthropic,2.5360162258148193
codex_gpt-5_2_at_openai,2.90622878074646
ii-agent-simple_gemini-3-pro-preview_at_gemini,2.523326873779297
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",2.7919070720672607
factory_droid_gemini-3-pro-preview_at_google,2.1708903312683105
codex_gpt-5_1-codex-max_at_openai,2.0234246253967285
letta-code_claude-opus-4-5_at_anthropic,1.6671658754348755
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",1.9784350395202637
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",2.5126492977142334
codex_gpt-5_1-codex_at_openai,2.337938070297241
terminus-2_claude-opus-4-5-20251101_at_anthropic,2.030596971511841
terminus-2_gemini-3-pro-preview_at_gemini,1.7291616201400757
letta-code_gemini-3-pro-preview_at_google,2.071924924850464
goose_claude-opus-4-5_at_anthropic,1.5903024673461914
terminus-2_gpt-5_2_at_openai,2.5533690452575684
letta-code_gpt-5_1-codex_at_openai,1.5434080362319946
claude-code_claude-opus-4-5-20251101_at_anthropic,1.3861355781555176
openhands_claude-opus-4-5-20251101_at_anthropic,1.7198097705841064
gemini-cli_gemini-3-flash-preview_at_google,1.6316853761672974
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",1.253867745399475
terminus-2_gpt-5_1_at_openai,1.0300911664962769
terminalbenchagent_claude-sonnet-4-5_at_anthropic,0.51468825340271
codex_gpt-5-codex_at_openai,0.42359089851379395
openhands_gpt-5_at_openai,0.9600925445556641
terminus-2_gpt-5-codex_at_openai,0.6833314895629883
goose_claude-sonnet-4-5_at_anthropic,0.28820493817329407
codex_gpt-5_1-codex-mini_at_openai,0.8694047331809998
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,0.8037102222442627
final_claude-4_5-sonnet_at_anthropic,-0.6959629058837891
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.6425821185112
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,0.6996291279792786
mini-swe-agent_gpt-5-codex_at_openai,0.6410053968429565
claude-code_claude-sonnet-4-5-20250929_at_anthropic,0.35900264978408813
openhands_claude-opus-4-1-20250805_at_anthropic,0.12357404083013535
terminus-2_gpt-5_1-codex_at_openai,0.9769014716148376
claude-code_minimax-m2_1_at_minimax,0.0433809831738472
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,0.11095598340034485
goose_claude-haiku-4-5_at_anthropic,0.20594313740730286
terminus-2_gpt-5_at_openai,0.2473146915435791
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,-0.5552340745925903
spoox-m_gpt-5-mini_at_openai,-0.04098186641931534
claude-code_claude-opus-4-1-20250805_at_anthropic,-0.08858807384967804
mini-swe-agent_gpt-5_at_openai,-0.17470212280750275
terminus-2_gemini-2_5-pro_at_gemini,0.509799063205719
codex_gpt-5-mini_at_openai,0.266566663980484
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,-0.5577749013900757
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,-0.921630322933197
terminus-2_minimax-m2_1_at_openai,-0.36411502957344055
openhands_gpt-5-mini_at_openai,-0.8499689102172852
terminus-2_claude-haiku-4-5-20251001_at_anthropic,-0.5137702822685242
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,-0.7760229706764221
claude-code_claude-haiku-4-5-20251001_at_anthropic,-0.8323959112167358
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,-0.7824652194976807
openhands_grok-4-0709_at_xai,-0.592573344707489
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,-0.9191440343856812
mini-swe-agent_gemini-2_5-pro_at_gemini,-0.8200100660324097
mini-swe-agent_grok-code-fast-1_at_xai,-0.9488232731819153
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-0.6723544001579285
mini-swe-agent_grok-4-0709_at_xai,-0.39338669180870056
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,-0.6173234581947327
terminus-2_gpt-5-mini_at_openai,-1.3802107572555542
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-0.7152464985847473
terminus-2_grok-4-0709_at_xai,-0.8017997741699219
mini-swe-agent_gpt-5-mini_at_openai,-1.605995535850525
gemini-cli_gemini-2_5-pro_at_gemini,-0.9614194631576538
terminus-2_openai/gpt-oss-120b_at_together_ai,-1.324770212173462
mini-swe-agent_gemini-2_5-flash_at_gemini,-1.5950778722763062
terminus-2_gemini-2_5-flash_at_gemini,-1.5444577932357788
openhands_gemini-2_5-pro_at_gemini,-1.1858325004577637
openhands_gemini-2_5-flash_at_gemini,-1.7631070613861084
gemini-cli_gemini-2_5-flash_at_gemini,-2.132702350616455
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,-2.1479148864746094
terminus-2_grok-code-fast-1_at_xai,-1.8021948337554932
openhands_claude-haiku-4-5-20251001_at_anthropic,-1.0382620096206665
codex_gpt-5-nano_at_openai,-2.276482582092285
openhands_gpt-5-nano_at_openai,-3.1006507873535156
terminus-2_gpt-5-nano_at_openai,-3.1501052379608154
mini-swe-agent_gpt-5-nano_at_openai,-3.431323766708374
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-4.271857738494873
terminus-2_openai/gpt-oss-20b_at_together_ai,-3.3994762897491455
