subject_id,theta
Claude 4 Sonnet - 10132025,-1.580371618270874
Claude 4.5 Haiku -- 10222025,-1.0465725660324097
Claude 4.5 Sonnet - 10132025,-0.5645755529403687
Claude Opus 4.1 - paper,-2.7333600521087646
Claude Sonnet 4 - paper,-3.1560745239257812
GLM-4.5 -- 10222025,-1.4238272905349731
GPT OSS - paper,-3.2749037742614746
GPT-4o - paper,-5.307065486907959
GPT-5 - 10132025,-1.336063265800476
GPT-5 Codex -- debug-oct22,-2.171502113342285
GPT-5 High - paper,-2.148641347885132
Gemini 2.5 Pro Preview - paper,-3.435823678970337
Gemini 2.5 Pro Preview -- debug-oct22,-2.774339437484741
Kimi - paper,-2.112689256668091
