subject_id,theta
Claude 4 Sonnet - 10132025,-1.6191115379333496
Claude 4.5 Haiku -- 10222025,-1.0714458227157593
Claude 4.5 Sonnet - 10132025,-0.6393823027610779
Claude Opus 4.1 - paper,-2.1901772022247314
Claude Sonnet 4 - paper,-2.920870065689087
GLM-4.5 -- 10222025,-1.136572241783142
GPT OSS - paper,-3.0335586071014404
GPT-4o - paper,-4.700052738189697
GPT-5 - 10132025,-1.2679327726364136
GPT-5 Codex -- debug-oct22,-2.147083282470703
GPT-5 High - paper,-2.2022705078125
Gemini 2.5 Pro Preview - paper,-3.3259849548339844
Gemini 2.5 Pro Preview -- debug-oct22,-2.766563653945923
Kimi - paper,-1.9858784675598145
