subject_id,theta
Claude 4 Sonnet - 10132025,-1.7400814294815063
Claude 4.5 Haiku -- 10222025,-1.1713868379592896
Claude 4.5 Sonnet - 10132025,-0.7219288349151611
Claude Opus 4.1 - paper,-2.7518937587738037
Claude Sonnet 4 - paper,-3.3257670402526855
GLM-4.5 -- 10222025,-1.600266695022583
GPT OSS - paper,-3.3452281951904297
GPT-4o - paper,-5.395874977111816
GPT-5 - 10132025,-1.5088473558425903
GPT-5 Codex -- debug-oct22,-2.3904552459716797
GPT-5 High - paper,-2.4099438190460205
Gemini 2.5 Pro Preview - paper,-3.813251256942749
Gemini 2.5 Pro Preview -- debug-oct22,-3.005868434906006
Kimi - paper,-2.163217306137085
