subject_id,theta
Claude 4 Sonnet - 10132025,-0.6257163286209106
Claude 4.5 Haiku -- 10222025,-0.20241069793701172
Claude 4.5 Sonnet - 10132025,0.019904376938939095
Claude Opus 4.1 - paper,-1.2766879796981812
Claude Sonnet 4 - paper,-1.8316810131072998
GLM-4.5 -- 10222025,-0.4772370457649231
GPT OSS - paper,-1.8782562017440796
GPT-4o - paper,-3.281405448913574
GPT-5 - 10132025,-0.450717955827713
GPT-5 Codex -- debug-oct22,-1.0831615924835205
GPT-5 High - paper,-1.1561561822891235
Gemini 2.5 Pro Preview - paper,-2.2420411109924316
Gemini 2.5 Pro Preview -- debug-oct22,-1.7077147960662842
Kimi - paper,-1.0338035821914673
