item_ix,item_id,diff
0,astropy__astropy-12907,-1.6471887826919556
1,astropy__astropy-13033,15.288936614990234
2,astropy__astropy-13236,4.677371501922607
3,astropy__astropy-13398,25.143117904663086
4,astropy__astropy-13453,-0.238486647605896
5,astropy__astropy-13579,-1.9070289134979248
6,astropy__astropy-13977,25.221864700317383
7,astropy__astropy-14096,-1.681774377822876
8,astropy__astropy-14182,6.688211917877197
9,astropy__astropy-14309,-8.69528865814209
10,astropy__astropy-14365,4.317601203918457
11,astropy__astropy-14369,2.2173495292663574
12,astropy__astropy-14508,-0.7545527219772339
13,astropy__astropy-14539,-2.261578321456909
14,astropy__astropy-14598,5.961069583892822
15,astropy__astropy-14995,-4.108186721801758
16,astropy__astropy-7166,-3.3344309329986572
17,astropy__astropy-7336,-6.221518039703369
18,astropy__astropy-7606,7.620773792266846
19,astropy__astropy-7671,-3.893702745437622
20,astropy__astropy-8707,6.580546855926514
21,astropy__astropy-8872,4.78985071182251
22,django__django-10097,0.7132691740989685
23,django__django-10554,24.183643341064453
24,django__django-10880,-2.1432347297668457
25,django__django-10914,-4.522472858428955
26,django__django-10973,-3.618901014328003
27,django__django-10999,22.672069549560547
28,django__django-11066,-9.029618263244629
29,django__django-11087,20.725479125976562
30,django__django-11095,-6.50187349319458
31,django__django-11099,-9.84703540802002
32,django__django-11119,-8.223420143127441
33,django__django-11133,-6.837314128875732
34,django__django-11138,4.483583450317383
35,django__django-11141,2.6658074855804443
36,django__django-11149,1.7870314121246338
37,django__django-11163,-7.596774578094482
38,django__django-11179,-4.1465301513671875
39,django__django-11206,0.9301123023033142
40,django__django-11211,-1.7189866304397583
41,django__django-11239,0.908753514289856
42,django__django-11265,0.8053709268569946
43,django__django-11276,-2.549182176589966
44,django__django-11292,-2.7497053146362305
45,django__django-11299,-0.17511563003063202
46,django__django-11333,-0.006181033328175545
47,django__django-11400,21.220273971557617
48,django__django-11433,3.5247604846954346
49,django__django-11451,-3.1195504665374756
50,django__django-11477,16.202884674072266
51,django__django-11490,0.2566494941711426
52,django__django-11532,0.2506750226020813
53,django__django-11551,-5.269351482391357
54,django__django-11555,0.7644029855728149
55,django__django-11603,-8.416532516479492
56,django__django-11728,4.7760009765625
57,django__django-11734,12.535408020019531
58,django__django-11740,-0.7480610609054565
59,django__django-11749,-2.4286065101623535
60,django__django-11790,2.0780293941497803
61,django__django-11815,-1.3973915576934814
62,django__django-11820,18.449100494384766
63,django__django-11848,1.262275218963623
64,django__django-11880,-7.507000923156738
65,django__django-11885,6.342728614807129
66,django__django-11951,-3.6140992641448975
67,django__django-11964,1.4928804636001587
68,django__django-11999,-3.475365161895752
69,django__django-12039,-0.46422600746154785
70,django__django-12050,-4.264981746673584
71,django__django-12125,-0.11556689441204071
72,django__django-12143,-8.590550422668457
73,django__django-12155,-9.543453216552734
74,django__django-12193,-0.7110028266906738
75,django__django-12209,-4.2355732917785645
76,django__django-12262,-1.3906543254852295
77,django__django-12273,3.233185052871704
78,django__django-12276,-4.232068061828613
79,django__django-12304,-1.2305686473846436
80,django__django-12308,2.7505264282226562
81,django__django-12325,3.0745067596435547
82,django__django-12406,22.038429260253906
83,django__django-12419,-5.404932498931885
84,django__django-12663,0.38176217675209045
85,django__django-12708,-1.6614832878112793
86,django__django-12713,-3.2960739135742188
87,django__django-12741,-1.8846361637115479
88,django__django-12754,0.07456184923648834
89,django__django-12774,-0.1260957568883896
90,django__django-12858,-1.6060798168182373
91,django__django-12965,0.7860593795776367
92,django__django-13012,-1.8174593448638916
93,django__django-13023,0.04759740084409714
94,django__django-13028,-2.740426778793335
95,django__django-13033,-1.0697588920593262
96,django__django-13089,-8.048199653625488
97,django__django-13109,-8.539928436279297
98,django__django-13112,0.6437356472015381
99,django__django-13121,0.1436401754617691
100,django__django-13128,0.77378249168396
101,django__django-13158,-0.41144993901252747
102,django__django-13195,14.565237998962402
103,django__django-13212,24.124710083007812
104,django__django-13279,-1.4545681476593018
105,django__django-13297,-0.12122604995965958
106,django__django-13315,-1.2760050296783447
107,django__django-13343,-1.8692277669906616
108,django__django-13344,17.327512741088867
109,django__django-13346,0.3070809841156006
110,django__django-13363,-7.352149486541748
111,django__django-13401,-1.653166651725769
112,django__django-13406,0.01688992604613304
113,django__django-13410,-5.99855375289917
114,django__django-13417,-3.5848402976989746
115,django__django-13449,-1.076804518699646
116,django__django-13512,1.0409613847732544
117,django__django-13513,20.259788513183594
118,django__django-13516,-4.0579423904418945
119,django__django-13551,0.31989455223083496
120,django__django-13568,0.36232078075408936
121,django__django-13569,-2.1270315647125244
122,django__django-13590,-1.9979475736618042
123,django__django-13658,-12.007133483886719
124,django__django-13670,-6.63404655456543
125,django__django-13741,-8.112671852111816
126,django__django-13786,-5.9807233810424805
127,django__django-13794,6.084220886230469
128,django__django-13807,1.3547050952911377
129,django__django-13809,-2.805222272872925
130,django__django-13810,-2.3322386741638184
131,django__django-13820,-5.901577472686768
132,django__django-13821,-4.467989444732666
133,django__django-13837,-2.494262456893921
134,django__django-13925,0.302177369594574
135,django__django-13933,-3.895338535308838
136,django__django-13964,-0.5953937768936157
137,django__django-14007,-1.3136053085327148
138,django__django-14011,23.788772583007812
139,django__django-14017,-1.7025076150894165
140,django__django-14034,23.561336517333984
141,django__django-14053,-2.7692270278930664
142,django__django-14089,-7.239995002746582
143,django__django-14122,-0.9530088305473328
144,django__django-14140,1.5727715492248535
145,django__django-14155,24.722248077392578
146,django__django-14170,11.996519088745117
147,django__django-14238,-3.819002389907837
148,django__django-14311,-0.04150315001606941
149,django__django-14315,12.721049308776855
150,django__django-14349,-3.7137062549591064
151,django__django-14351,0.7550554275512695
152,django__django-14373,-13.838815689086914
153,django__django-14376,2.285504102706909
154,django__django-14404,1.4123001098632812
155,django__django-14434,-1.924235463142395
156,django__django-14493,-2.8205883502960205
157,django__django-14500,-2.102682113647461
